Date,tracking_formula,portland,carbon,latex
1/1/2021,NA,NA,NA,NA
1/2/2021,NA,NA,NA,NA
1/3/2021,NA,NA,NA,NA
1/4/2021,NA,NA,NA,NA
1/5/2021,NA,NA,NA,NA
1/6/2021,NA,NA,NA,NA
1/7/2021,NA,NA,NA,NA
1/8/2021,NA,NA,NA,NA
1/9/2021,NA,NA,NA,NA
1/10/2021,NA,NA,NA,NA
1/11/2021,NA,NA,NA,NA
1/12/2021,NA,NA,NA,NA
1/13/2021,NA,NA,NA,NA
1/14/2021,NA,NA,NA,NA
1/15/2021,NA,NA,NA,NA
1/16/2021,NA,NA,NA,NA
1/17/2021,NA,NA,NA,NA
1/18/2021,NA,NA,NA,NA
1/19/2021,NA,NA,NA,NA
1/20/2021,NA,NA,NA,NA
1/21/2021,NA,NA,NA,NA
1/22/2021,NA,NA,NA,NA
1/23/2021,NA,NA,NA,NA
1/24/2021,NA,NA,NA,NA
1/25/2021,NA,NA,NA,NA
1/26/2021,NA,NA,NA,NA
1/27/2021,NA,NA,NA,NA
1/28/2021,NA,NA,NA,NA
1/29/2021,NA,NA,NA,NA
1/30/2021,NA,NA,NA,NA
1/31/2021,NA,NA,NA,NA
2/1/2021,NA,NA,NA,NA
2/2/2021,NA,Lot 392,NA,NA
2/3/2021,NA,Lot 392,NA,NA
2/4/2021,NA,Lot 392,NA,NA
2/5/2021,NA,Lot 392,NA,NA
2/6/2021,NA,Lot 392,NA,NA
2/7/2021,NA,Lot 392,NA,NA
2/8/2021,NA,Lot 392,NA,NA
2/9/2021,NA,Lot 392,NA,NA
2/10/2021,NA,Lot 392,NA,NA
2/11/2021,NA,Lot 392,NA,NA
2/12/2021,NA,Lot 392,NA,NA
2/13/2021,NA,Lot 392,NA,NA
2/14/2021,NA,Lot 392,NA,NA
2/15/2021,NA,Lot 392,NA,NA
2/16/2021,NA,Lot 392,NA,NA
2/17/2021,NA,Lot 392,NA,NA
2/18/2021,NA,Lot 392,NA,NA
2/19/2021,NA,Lot 392,NA,NA
2/20/2021,NA,Lot 392,NA,NA
2/21/2021,NA,Lot 392,NA,NA
2/22/2021,NA,Lot 392,NA,NA
2/23/2021,NA,Lot 392,NA,NA
2/24/2021,NA,Lot 392,NA,NA
2/25/2021,NA,Lot 392,NA,NA
2/26/2021,NA,Lot 392,Lot 3909,NA
2/27/2021,NA,Lot 392,Lot 3909,NA
2/28/2021,NA,Lot 392,Lot 3909,NA
3/1/2021,version 3,Lot 392,Lot 3909,NA
3/2/2021,version 3,Lot 392,Lot 3909,NA
3/3/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/4/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/5/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/6/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/7/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/8/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/9/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/10/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/11/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/12/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/13/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/14/2021,version 2,Lot 392,Lot 3909,Lot 3069
3/15/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/16/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/17/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/18/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/19/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/20/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/21/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/22/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/23/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/24/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/25/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/26/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/27/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/28/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/29/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/30/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
3/31/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
4/1/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
4/2/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
4/3/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
4/4/2021,sieve_portland,Lot 392,Lot 3909,Lot 3069
4/5/2021,sieve_portland,Lot 392,Lot 3909,Lot 3371
4/6/2021,sieve_portland,Lot 392,Lot 3909,Lot 3371
4/7/2021,version 3,Lot 392,Lot 3909,Lot 3371
4/8/2021,version 3,Lot 392,Lot 3909,Lot 3371
4/9/2021,version 3,Lot 392,Lot 3909,Lot 3371
4/10/2021,version 3,Lot 392,Lot 3909,Lot 3371
4/11/2021,version 3,Lot 392,Lot 3909,Lot 3371
4/12/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/13/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/14/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/15/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/16/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/17/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/18/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/19/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/20/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/21/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/22/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/23/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/24/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/25/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/26/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/27/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/28/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/29/2021,version 5,Lot 392,Lot 3909,Lot 3371
4/30/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/1/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/2/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/3/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/4/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/5/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/6/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/7/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/8/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/9/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/10/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/11/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/12/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/13/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/14/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/15/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/16/2021,version 5,Lot 392,Lot 3909,Lot 3371
5/17/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/18/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/19/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/20/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/21/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/22/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/23/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/24/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/25/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/26/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/27/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/28/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/29/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/30/2021,version 5,Lot 3352,Lot 3909,Lot 3371
5/31/2021,version 4,Lot 3352,Lot 3909,Lot 3371
6/1/2021,version 4,Lot 3352,Lot 3909,Lot 3371
6/2/2021,version 4,Lot 3352,Lot 3909,Lot 3371
6/3/2021,version 4,Lot 3352,Lot 3909,Lot 3371
6/4/2021,version 4,Lot 3352,Lot 46240,Lot 3371
6/5/2021,version 4,Lot 3352,Lot 46240,Lot 3371
6/6/2021,version 4,Lot 3352,Lot 46240,Lot 3371
6/7/2021,version 3,Lot 3352,Lot 46240,Lot 3371
6/8/2021,version 3,Lot 3352,Lot 46240,Lot 3371
6/9/2021,version 3,Lot 3352,Lot 46240,Lot 3371
6/10/2021,version 3,Lot 3352,Lot 46240,Lot 3371
6/11/2021,version 3,Lot 3352,Lot 46240,Lot 3371
6/12/2021,version 3,Lot 3352,Lot 46240,Lot 3371
6/13/2021,version 3,Lot 3352,Lot 46240,Lot 3371
6/14/2021,version 2,Lot 3352,Lot 46240,Lot 3371

2021-08-17,Lot 21,Lot 22,Lot 23,version 4
2021-08-18,Lot 21,Lot 22,Lot 23,version 4
2021-08-19,Lot 21,Lot 22,Lot 23,version 4
2021-08-20,Lot 21,Lot 22,Lot 23,version 4
2021-08-21,Lot 21,Lot 22,Lot 23,version 4
2021-08-22,Lot 21,Lot 22,Lot 23,version 4
2021-08-23,Lot 21,Lot 22,Lot 23,version 4
2021-08-24,Lot 21,Lot 22,Lot 23,version 4
2021-08-25,Lot 21,Lot 22,Lot 23,version 4
2021-08-26,Lot 21,Lot 22,Lot 23,version 4
2021-08-27,Lot 21,Lot 22,Lot 23,version 4
2021-08-28,Lot 21,Lot 22,Lot 23,version 4
2021-08-29,Lot 21,Lot 22,Lot 23,version 4
2021-08-30,Lot 21,Lot 22,Lot 23,version 4
2021-08-31,Lot 21,Lot 22,Lot 23,version 4
2021-09-01,Lot 21,Lot 22,Lot 23,version 4
2021-09-02,Lot 21,Lot 22,Lot 23,version 4
2021-09-03,Lot 21,Lot 22,Lot 23,version 4
2021-09-04,Lot 21,Lot 22,Lot 23,version 4
2021-09-05,Lot 21,Lot 22,Lot 23,version 4
2021-09-06,Lot 21,Lot 22,Lot 23,version 4
2021-09-07,Lot 21,Lot 22,Lot 23,version 4
2021-09-08,Lot 21,Lot 22,Lot 23,version 4
2021-09-09,Lot 21,Lot 22,Lot 23,version 4
2021-09-10,Lot 21,Lot 22,Lot 23,version 4
2021-09-11,Lot 21,Lot 22,Lot 23,version 4
2021-09-12,Lot 21,Lot 22,Lot 23,version 4
2021-09-13,Lot 21,Lot 22,Lot 23,version 4
2021-09-14,Lot 21,Lot 22,Lot 23,version 4
2021-09-15,Lot 21,Lot 22,Lot 23,version 4
2021-09-16,Lot 21,Lot 22,Lot 23,version 4
2021-09-17,Lot 21,Lot 22,Lot 23,version 4
