date,max_temp,min_temp,max_hum,min_hum,heat_index_temp_max,heat_index_temp_min
1/2/2019,24.5,14.3,40,17,24,12
1/3/2019,20.9,14.8,30,18,20,13
1/4/2019,18.2,17,34,27,17,15
1/7/2019,22.9,16.5,39,17,22,15
1/8/2019,23.4,18.8,31,17,23,17
1/9/2019,23.4,18.8,39,28,23,17
1/10/2019,24.3,18.8,39,19,24,17
1/11/2019,24.9,21.8,22,15,24,20
1/14/2019,24.7,21.2,16,10,24,20
1/15/2019,24.5,20.2,20,10,24,19
1/16/2019,23.9,20,26,20,23,19
1/17/2019,24.9,21.2,23,10,24,20
1/18/2019,25.1,20.9,20,10,24,19
1/21/2019,24.3,18.4,26,10,23,17
1/22/2019,24.5,18.7,10,10,23,17
1/23/2019,25.8,21,20,10,25,19
1/24/2019,23.4,19.1,35,20,23,18
1/25/2019,24.5,20.9,30,19,24,20
1/28/2019,25.1,21.5,23,10,24,20
1/29/2019,25.8,22.4,11,10,25,21
1/30/2019,25.7,21,18,10,25,19
1/31/2019,26.1,23.3,10,10,25,22
2/1/2019,25.9,23.1,10,10,25,22
2/4/2019,25.9,18.5,35,10,25,17
2/5/2019,23.5,18.5,41,34,23,17
2/6/2019,24.5,21.1,35,19,24,20
2/7/2019,24.1,20.8,27,20,23,19
2/8/2019,22.7,19.5,31,26,22,18
2/11/2019,25.5,20.4,28,10,25,19
2/12/2019,26.1,21.4,18,10,25,20
2/13/2019,26.2,20.9,18,10,25,19
2/14/2019,25.1,20,20,15,24,18
2/15/2019,23.4,19,26,20,22,17
2/19/2019,25.9,19.6,28,10,25,18
2/20/2019,25.5,20.7,15,10,24,19
2/21/2019,25.3,19.8,23,10,24,18
2/22/2019,23.5,19.6,24,20,23,18
2/26/2019,25.1,18.4,27,10,24,17
2/27/2019,25.1,21.1,13,10,24,20
2/28/2019,25.5,21.8,11,10,24,20
3/1/2019,25.9,21.1,13,10,25,20
3/4/2019,25.9,18.6,17,10,25,17
3/5/2019,26.1,20.5,13,10,25,19
3/6/2019,25.9,19.1,10,10,25,17
3/7/2019,21,16.9,12,10,19,15
3/8/2019,20.7,16.5,16,10,19,14
3/11/2019,19.8,15.9,26,10,19,14
3/12/2019,18.9,16,27,18,18,14
3/13/2019,18.8,16.1,26,18,17,14
3/14/2019,17.8,16,33,25,17,14
3/15/2019,18.3,16.9,43,32,17,15
3/18/2019,19.3,15.6,40,20,18,14
3/19/2019,18.6,16.1,28,22,17,14
3/20/2019,18.8,16.1,30,26,18,14
3/21/2019,21.6,17.2,29,25,21,16
3/22/2019,20.8,17.5,37,29,20,16
3/25/2019,23.8,17.5,32,10,23,16
3/26/2019,22.9,20,18,13,22,18
3/27/2019,22.5,19.5,13,10,21,18
3/28/2019,22,17.9,15,10,21,16
3/29/2019,20.7,15.5,30,15,20,13
4/1/2019,22.7,18.3,26,17,22,17
4/2/2019,22.7,18,18,17,21,16
4/3/2019,21.2,17.5,25,17,20,16
4/4/2019,22.3,18.9,25,17,21,17
4/5/2019,22,19.3,18,17,21,18
4/8/2019,21.3,16.9,37,17,20,15
4/9/2019,19.6,17.2,41,37,19,16
4/10/2019,21,18.5,37,31,20,17
4/11/2019,21.8,18.5,31,24,21,17
4/12/2019,21.6,18.7,28,24,21,17
4/15/2019,21.2,17.2,42,27,20,16
4/16/2019,21.2,18.4,30,24,20,17
4/17/2019,20.7,17.4,31,26,20,16
4/18/2019,20.4,17.4,33,27,19,16
4/22/2019,20.5,16.8,59,32,20,15
4/23/2019,20.2,17.2,51,47,20,16
4/24/2019,19.5,14.9,54,43,19,14
4/25/2019,22.9,17.2,45,37,22,16
4/26/2019,21,17.2,48,40,20,16
4/29/2019,22.7,18.1,48,26,22,17
4/30/2019,22,17.5,34,27,21,16
5/1/2019,21.8,17.2,44,34,21,16
5/2/2019,22.9,18.7,44,40,22,18
5/3/2019,22.7,17.9,47,40,22,17
5/6/2019,22.7,17.6,50,43,22,17
5/7/2019,22.7,18.1,49,42,22,17
5/8/2019,23.4,18.2,44,37,23,17
5/9/2019,23.2,18.3,40,37,23,17
5/10/2019,21.2,18,54,37,21,17
5/13/2019,23,18,53,39,23,17
5/14/2019,23,18,53,39,23,17
5/15/2019,21.5,17.6,46,41,21,16
5/16/2019,22.2,17.9,47,42,22,17
5/17/2019,22,18,47,43,21,17
5/21/2019,22.7,17.9,58,40,23,17
5/22/2019,22.3,18,43,40,22,17
5/23/2019,21.2,18,48,41,21,17
5/24/2019,21.2,18,55,48,21,17
5/27/2019,21.3,18.1,67,53,21,17
5/28/2019,22,18.1,57,54,22,17
5/29/2019,21.5,18.2,60,54,21,17
5/30/2019,20.7,18,62,57,20,17
6/3/2019,22.5,18.1,62,40,22,17
6/4/2019,22.3,18.2,41,38,22,17
6/5/2019,21,18.3,52,40,21,17
6/6/2019,20.2,18.1,64,52,20,17
6/7/2019,21.8,18.4,64,57,22,18
6/10/2019,23.6,19.1,59,47,24,18
6/11/2019,22.2,18.8,61,54,22,18
6/12/2019,21.8,18.7,59,51,22,18
6/13/2019,22.9,19.8,54,50,23,19
6/14/2019,21.5,18.7,59,54,21,18
6/17/2019,21.3,18.3,59,51,21,18
6/18/2019,23.1,19.6,59,54,23,19
6/19/2019,24.2,20.7,61,54,24,20
6/20/2019,24.4,20.9,65,56,25,21
6/21/2019,23.5,19.9,71,62,24,20
6/24/2019,24.1,19.2,71,51,24,19
6/25/2019,24.1,21.4,66,54,24,21
6/26/2019,23.7,21.6,67,62,24,21
6/27/2019,25.1,21.9,67,60,25,22
7/15/2019,28.6,21.2,75,44,33,21
7/16/2019,26.8,22.9,59,49,28,23
7/17/2019,27.3,23.8,72,59,30,24
7/18/2019,27.1,24.4,74,69,29,25
7/19/2019,28.1,25.1,75,65,32,25
7/22/2019,28.1,23.8,81,59,33,24
7/23/2019,26.8,23,61,56,28,23
7/24/2019,25.9,23,60,37,27,22
7/25/2019,26.1,23.1,50,45,26,23
7/26/2019,26.9,23.4,53,47,28,23
7/29/2019,26.5,23.5,67,50,28,23
7/30/2019,28.1,24.5,67,59,30,25
7/31/2019,27.3,23.5,67,57,29,23
8/1/2019,26.8,23.2,58,50,28,23
8/2/2019,27.1,23.4,52,41,28,23
8/6/2019,27.5,23.2,54,42,28,23
8/7/2019,26.4,23.9,66,54,28,24
8/8/2019,26.2,23.9,61,51,27,24
8/9/2019,25.5,22.9,61,52,26,23
8/12/2019,26.4,22.2,53,46,27,22
8/13/2019,26.9,23.5,57,52,28,23
8/14/2019,27.1,23.8,57,47,28,23
8/15/2019,26.2,22.8,48,37,27,22
8/16/2019,25.9,22.9,54,42,26,22
8/19/2019,26.6,23.1,67,47,28,23
8/20/2019,25.9,22.5,65,53,27,22
8/21/2019,26.6,24.1,62,52,28,24
8/22/2019,27.4,23.4,62,48,29,23
8/23/2019,25.2,22.2,50,42,25,22
8/26/2019,24.8,21.5,56,40,25,21
8/27/2019,25.5,22.5,55,45,26,22
8/28/2019,24.2,22.5,70,50,25,22
8/29/2019,25.1,22.2,67,51,25,22
8/30/2019,25.2,22.4,55,46,25,22
9/3/2019,24.4,20.5,61,45,24,20
9/4/2019,22.5,21.5,66,64,23,21
9/5/2019,22.4,19.9,64,55,22,19
9/6/2019,23.4,20.5,55,49,23,20
9/9/2019,22.2,18.4,59,52,22,18
9/10/2019,21.8,18.8,54,48,21,18
9/11/2019,21.8,19.8,62,50,22,19
9/12/2019,23.7,20.8,68,62,24,21
9/13/2019,22.9,19.8,62,51,23,19
9/16/2019,21.8,19.2,71,55,22,19
9/17/2019,21.3,19.1,65,61,21,19
9/18/2019,22.5,19.2,64,53,22,19
9/19/2019,23.3,20.2,59,52,23,20
9/23/2019,23.9,20.4,72,52,24,20
9/24/2019,23.3,20.3,69,64,23,20
9/25/2019,22.2,19.8,66,60,22,19
9/26/2019,23.1,20.2,62,56,23,20
9/27/2019,21.7,18.8,62,57,22,18
9/30/2019,21.5,18.2,63,54,21,17
10/1/2019,21,18.7,60,52,21,18
10/2/2019,22.8,19.8,78,59,23,19
10/3/2019,20.9,18.1,76,58,21,17
10/4/2019,19.4,17.3,59,54,19,16
10/7/2019,18.5,14.6,59,50,18,13
10/8/2019,19.5,16.5,55,51,19,16
10/9/2019,19.3,16.3,55,50,19,15
10/10/2019,19.5,16.2,55,50,19,15
10/11/2019,19.2,16.5,55,50,19,16
10/15/2019,19.4,14.7,54,45,19,13
10/16/2019,25.2,15.1,46,29,25,13
10/17/2019,24.6,20.9,44,35,24,20
10/18/2019,25,21.8,39,30,25,21
10/21/2019,25,20.2,40,30,25,19
10/22/2019,24.2,20.1,47,36,24,19
10/23/2019,24.4,19.9,51,38,24,19
10/24/2019,24.4,20.8,42,31,24,20
10/25/2019,24.5,20.8,39,33,24,20
10/28/2019,25.2,20.4,42,30,25,19
10/29/2019,24.2,20.3,42,37,24,19
10/30/2019,24.4,20.1,47,37,24,19
10/31/2019,25.1,21.9,42,36,25,21
11/1/2019,24.8,21.7,41,30,24,21
11/4/2019,25.2,21.2,33,22,25,20
11/6/2019,25.1,20.5,33,21,25,19
11/7/2019,24.9,17.8,30,21,24,16
11/8/2019,24.6,20.6,27,17,24,19
11/11/2019,22,17.7,29,21,21,16
11/12/2019,23.2,19.4,26,17,22,18
11/13/2019,23.2,16.3,27,17,22,14
11/14/2019,18,16.4,27,22,17,15
11/15/2019,18,16.6,29,25,17,15
11/18/2019,18.1,15.1,30,23,17,13
11/19/2019,17.4,16.4,34,29,16,15
11/20/2019,18,16.5,36,32,17,15
11/21/2019,18.2,16.5,38,35,17,15
11/22/2019,18.2,16.5,39,34,17,15
11/25/2019,17.7,15.4,39,32,17,14
11/26/2019,23,16.7,36,28,22,15
11/27/2019,20.9,17.9,35,32,20,17
11/28/2019,21.1,18.1,39,32,20,17
11/29/2019,21.2,19.2,32,25,20,18
